Section,Task Name,Assignee,Priority,Effort,Is Milestone,Dependencies,Related Docs
§1 Governance & Project Setup,Confirm project charter and success criteria,Keren,P0,S,No,,https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/project-description.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/structure.json
§1 Governance & Project Setup,Confirm team roles and RACI,Keren,P0,S,No,,https://github.com/klacadin/evo-growth/blob/master/crm/asana/asana-structure.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/project-description.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/custom-fields.json
§1 Governance & Project Setup,Schedule definitions workshop (90 min),Keren,P0,S,No,,https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/01-share-with-team.md; https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/05-phase0-workshop.md; https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/03-decision-worksheet.md; https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/README.md
§1 Governance & Project Setup,Establish change control rules,Keren,P0,S,No,,https://github.com/klacadin/evo-growth/blob/master/crm/asana/project-description.md; https://github.com/klacadin/evo-growth/blob/master/crm/meeting-notes/2026-07-pipeline-alignment.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/dependencies.json
§1 Governance & Project Setup,Joel: Schedule CRM implementation review with Avi's team,Joel,P0,S,No,Finalize patient status labels and lifecycle flowcharts,https://github.com/klacadin/evo-growth/blob/master/crm/meeting-notes/2026-07-pipeline-alignment.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/flowcharts/pipeline-flowcharts-v1.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary/drop-reasons-for-signoff.md
§1 Governance & Project Setup,Leah: Follow-up and coordinate Avi meeting scheduling,Leah,P0,S,No,Finalize patient status labels and lifecycle flowcharts,https://github.com/klacadin/evo-growth/blob/master/crm/meeting-notes/2026-07-pipeline-alignment.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/workshop-jul2026-asana-sync.md
§2 Business Definitions & Sign-Off,Refine CRM glossary and terminology (living doc),Keren,P0,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary/status-terminology-v1.md
§2 Business Definitions & Sign-Off,Finalize patient status labels and lifecycle flowcharts,Keren,P0,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/flowcharts/pipeline-flowcharts-v1.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md
§2 Business Definitions & Sign-Off,Confirm master lifecycle model (Jul 2026 alignment),Joel,P0,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/meeting-notes/2026-07-pipeline-alignment.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md
§2 Business Definitions & Sign-Off,Confirm layer separation model,Keren,P0,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md; https://github.com/klacadin/evo-growth/blob/master/crm/schema/lifecycle.ts
§2 Business Definitions & Sign-Off,Resolve edge case decision log (20 scenarios),Joel,P0,L,No,,https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/03-decision-worksheet.md
§2 Business Definitions & Sign-Off,Confirm census definition,Joel,P0,S,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql; https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql; https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md
§2 Business Definitions & Sign-Off,Export and sign off ReferralOutcome picklist,Avi,P0,S,No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary/drop-reasons-for-signoff.md; https://github.com/klacadin/evo-growth/blob/master/crm/schema/enums.json; https://github.com/klacadin/evo-growth/blob/master/crm/asana/nexus-discovery-asana-sync.md
§2 Business Definitions & Sign-Off,Document LOB eligibility criteria matrix,Joel,P0,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md
§2 Business Definitions & Sign-Off,Simplify drop reasons to ~10 categories,Keren,P0,S,No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary/drop-reasons-for-signoff.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md
§2 Business Definitions & Sign-Off,Joel: Confirm NIA re-application waiting period,Joel,P0,S,No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/meeting-notes/2026-07-pipeline-alignment.md
§2 Business Definitions & Sign-Off,Document short-term care integration rules,Keren,P0,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/flowcharts/pipeline-flowcharts-v1.md; https://github.com/klacadin/evo-growth/blob/master/crm/meeting-notes/2026-07-pipeline-alignment.md
§2 Business Definitions & Sign-Off,Sign Status Framework v1,Keren,P0,S,Yes,Finalize patient status labels and lifecycle flowcharts,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/flowcharts/pipeline-flowcharts-v1.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary/drop-reasons-for-signoff.md; https://github.com/klacadin/evo-growth/blob/master/crm/meeting-notes/2026-07-pipeline-alignment.md; https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/03-decision-worksheet.md
§3 Current State & Data Baseline,Schema Manager object inventory,Keren,P0,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/crm-bot-discovery.prompt.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/nexus-discovery-asana-sync.md; https://github.com/klacadin/evo-growth/blob/master/crm/schema/enums.json
§3 Current State & Data Baseline,Map Nexus objects to audit queries,Avi,P0,M,No,Sign Status Framework v1,https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql; https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json; https://github.com/klacadin/evo-growth/blob/master/crm/crm-bot-discovery.prompt.md
§3 Current State & Data Baseline,Run distribution baselines,Avi,P0,M,No,Map Nexus objects to audit queries,https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql; https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json
§3 Current State & Data Baseline,Run integrity baselines — critical cohorts,Keren,P0,L,No,Run distribution baselines,https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql; https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md
§3 Current State & Data Baseline,Record census gap baseline,Keren,P0,S,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql; https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql; https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md
§3 Current State & Data Baseline,Export manual review batch IDs,Avi,P1,S,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json
§3 Current State & Data Baseline,Baseline audit complete — all counts recorded,Keren,P0,S,Yes,Record census gap baseline,https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql; https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md
§4 Target Architecture & Migration Design,Finalize status architecture tables,Keren,P0,M,No,Sign Status Framework v1,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/schema/lifecycle.ts; https://github.com/klacadin/evo-growth/blob/master/crm/schema/enums.json
§4 Target Architecture & Migration Design,Complete old-to-new status mapping,Keren,P0,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json; https://github.com/klacadin/evo-growth/blob/master/crm/schema/legacy-status-map.json
§4 Target Architecture & Migration Design,Define required field matrix,Keren,P0,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/validation-rules.ts; https://github.com/klacadin/evo-growth/blob/master/crm/schema/enums.json
§4 Target Architecture & Migration Design,Draft dashboard logic spec,Keren,P1,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql; https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md
§4 Target Architecture & Migration Design,Publish Implementation Brief for Avi,Keren,P0,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/enums.json; https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json; https://github.com/klacadin/evo-growth/blob/master/crm/schema/validation-rules.ts; https://github.com/klacadin/evo-growth/blob/master/crm/schema/lifecycle.ts; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md
§5 CRM Build — Staging,Episode picklist rebuild,Avi,P0,M,No,Sign Status Framework v1,https://github.com/klacadin/evo-growth/blob/master/crm/schema/enums.json; https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md
§5 CRM Build — Staging,Authorization picklist migration,Avi,P0,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/enums.json; https://github.com/klacadin/evo-growth/blob/master/crm/schema/validation-rules.ts; https://github.com/klacadin/evo-growth/blob/master/crm/asana/nexus-discovery-asana-sync.md
§5 CRM Build — Staging,Episode UI updates,Avi,P0,L,No,,https://github.com/klacadin/evo-growth/blob/master/crm/flowcharts/pipeline-flowcharts-v1.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md
§5 CRM Build — Staging,Validation rules — blocking saves,Avi,P0,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/validation-rules.ts; https://github.com/klacadin/evo-growth/blob/master/crm/schema/lifecycle.ts
§5 CRM Build — Staging,Automations,Avi,P0,L,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/validation-rules.ts; https://github.com/klacadin/evo-growth/blob/master/crm/schema/lifecycle.ts; https://github.com/klacadin/evo-growth/blob/master/crm/asana/nexus-discovery-asana-sync.md
§5 CRM Build — Staging,Staging build complete,Avi,P0,S,Yes,Automations,https://github.com/klacadin/evo-growth/blob/master/crm/schema/enums.json; https://github.com/klacadin/evo-growth/blob/master/crm/schema/validation-rules.ts; https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json
§6 Data Remediation & QA,Build staging migration script,Avi,P0,L,No,Baseline audit complete — all counts recorded; Staging build complete,https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json; https://github.com/klacadin/evo-growth/blob/master/crm/schema/legacy-status-map.json
§6 Data Remediation & QA,Migrate Episode statuses,Avi,P0,M,No,Build staging migration script,https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json
§6 Data Remediation & QA,Remediate legacy Patient picklists,Avi,P0,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/legacy-status-map.json; https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json
§6 Data Remediation & QA,Run specialty remediation batches,Avi,P0,L,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json; https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql
§6 Data Remediation & QA,Re-run baselines on staging,Keren,P0,M,No,Run specialty remediation batches,https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql; https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql
§6 Data Remediation & QA,Ops review — 50 remediated records,Joel,P0,M,No,Re-run baselines on staging,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/03-decision-worksheet.md
§6 Data Remediation & QA,Remediation validated — census gap acceptable on staging,Avi,P0,S,Yes,Ops review — 50 remediated records,https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql; https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql
§7 Dashboards & User Acceptance,Rebuild Leads / Referral list view,Avi,P0,M,No,Remediation validated — census gap acceptable on staging,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql
§7 Dashboards & User Acceptance,Rebuild leadership widgets,Avi,P0,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql; https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql
§7 Dashboards & User Acceptance,Rebuild ops queues,Avi,P1,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql
§7 Dashboards & User Acceptance,Rebuild growth / funnel reporting,Avi,P2,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql
§7 Dashboards & User Acceptance,QA — zero orphan authorized on census widget,Avi,P0,S,No,Rebuild leadership widgets,https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql; https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql
§7 Dashboards & User Acceptance,Sales UAT — Angelo,Angelo,P0,M,No,QA — zero orphan authorized on census widget,https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/03-decision-worksheet.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md
§7 Dashboards & User Acceptance,Ops UAT — Joel + intake leads,Joel,P0,M,No,QA — zero orphan authorized on census widget,https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/03-decision-worksheet.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md
§7 Dashboards & User Acceptance,UAT passed — sales and ops sign-off,Keren,P0,S,Yes,Sales UAT — Angelo; Ops UAT — Joel + intake leads,https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/03-decision-worksheet.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/milestones.json
§8 Production Go-Live,Final go/no-go review,Keren,P0,S,No,UAT passed — sales and ops sign-off,https://github.com/klacadin/evo-growth/blob/master/crm/asana/milestones.json; https://github.com/klacadin/evo-growth/blob/master/crm/asana/dependencies.json; https://github.com/klacadin/evo-growth/blob/master/crm/asana/project-description.md
§8 Production Go-Live,Schedule and communicate migration window,Leah,P0,S,No,,https://github.com/klacadin/evo-growth/blob/master/crm/asana/project-description.md; https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/01-share-with-team.md
§8 Production Go-Live,Execute production remediation batch,Avi,P0,L,No,Final go/no-go review,https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json
§8 Production Go-Live,Enable production rules and automations,Avi,P0,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/validation-rules.ts; https://github.com/klacadin/evo-growth/blob/master/crm/schema/lifecycle.ts
§8 Production Go-Live,Switch production dashboards and list views,Avi,P0,M,No,Enable production rules and automations,https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql
§8 Production Go-Live,Post-cutover census validation,Keren,P0,S,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql; https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql
§8 Production Go-Live,Production live — census gap closed,Avi,P0,S,Yes,Post-cutover census validation,https://github.com/klacadin/evo-growth/blob/master/crm/asana/milestones.json; https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql
§8 Production Go-Live,Hypercare monitoring (2 weeks),Avi,P1,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/asana/project-description.md
"§9 Documentation, Training & NY Playbook",Publish NY Status Framework v1 (canonical),Keren,P1,M,No,Production live — census gap closed,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/flowcharts/pipeline-flowcharts-v1.md; https://github.com/klacadin/evo-growth/blob/master/crm/onedrive-hub/index.md
"§9 Documentation, Training & NY Playbook",Update department playbooks,Joel,P1,L,No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/05-phase0-workshop.md
"§9 Documentation, Training & NY Playbook",Conduct team training sessions,Keren,P1,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/flowcharts/pipeline-flowcharts-v1.md; https://github.com/klacadin/evo-growth/blob/master/crm/onedrive-hub/index.md
"§9 Documentation, Training & NY Playbook",Deprecate legacy fields (write-block only),Avi,P2,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json; https://github.com/klacadin/evo-growth/blob/master/crm/schema/enums.json; https://github.com/klacadin/evo-growth/blob/master/crm/schema/legacy-status-map.json
"§9 Documentation, Training & NY Playbook",Florida delta checklist,Keren,P3,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/leadtrap/leadtrap.md; https://github.com/klacadin/evo-growth/blob/master/crm/README.md
§10 Growth Enablement,Confirm growth readiness prerequisites,Keren,P2,S,No,Production live — census gap closed,https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql; https://github.com/klacadin/evo-growth/blob/master/crm/asana/milestones.json
§10 Growth Enablement,UTM and campaign attribution standards,Keren,P2,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/leadtrap/leadtrap.md
§10 Growth Enablement,Website forms → CRM integration audit,Avi,P2,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/leadtrap/leadtrap.md; https://github.com/klacadin/evo-growth/blob/master/src/app/api/webhooks/crm/route.ts
§10 Growth Enablement,LeadTrap / Ava integration,Keren,P3,L,No,,https://github.com/klacadin/evo-growth/blob/master/crm/leadtrap/leadtrap.md
§10 Growth Enablement,Meta / paid social attribution,Keren,P3,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/leadtrap/leadtrap.md
§10 Growth Enablement,"Referral partner tracking (doctors, case managers)",Keren,P2,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md
§10 Growth Enablement,Growth dashboard — qualified referral → active patient,Avi,P2,M,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql; https://github.com/klacadin/evo-growth/blob/master/crm/leadtrap/leadtrap.md
